ID,x,y,marker_0,marker_1
1,37.19781571,23.75487351,101,131
2,48.30641549,23.75487351,102,132
3,60.12794047,23.75487351,103,133
4,73.57088267,23.75487351,104,134
5,45.07250627,15.88018295,105,135
6,51.34850476,9.60418445,106,136
7,58.27178454,2.68090467,107,137
8,37.19781571,12.64627372,108,138
9,37.19781571,6.87407439,109,139
10,37.19781571,0.82474875,110,140
11,29.32312515,15.88018295,111,141
12,23.04712665,9.60418445,112,142
13,16.12384687,2.68090467,113,143
14,26.08921592,23.75487351,114,144
15,14.26769095,23.75487351,115,145
16,0.82474875,23.75487351,116,146
17,29.32312515,31.62956407,117,147
18,20.82796272,40.12472650,118,148
19,10.96768602,49.98500320,119,149
20,37.19781571,34.86347329,120,150
21,37.19781571,46.68499827,121,151
22,37.19781571,60.12794047,122,152
23,45.07250627,31.62956407,123,153
24,53.56766870,40.12472650,124,154
25,63.42794540,49.98500320,125,155
